685.81,3.267
686.54,3.3469
687.28,3.3823
688.02,3.4468
688.75,3.5267
689.49,3.6325
690.23,3.7647
690.96,3.9087
691.7,4.0464
692.43,4.2166
693.17,4.4271
693.9,4.6059
694.64,4.827
695.37,5.0356
696.11,5.2442
696.85,5.443
697.58,5.6802
698.32,5.9265
699.05,6.1933
699.79,6.4584
700.52,6.6992
701.26,6.956
701.99,7.2351
702.72,7.5628
703.46,7.9122
704.19,8.2925
704.93,8.6425
705.66,8.9906
706.4,9.3244
707.13,9.6855
707.87,10.048
708.6,10.4111
709.33,10.7666
710.07,11.1238
710.8,11.4538
711.53,11.8201
712.27,12.1702
713,12.5639
713.74,12.995
714.47,13.4074
715.2,13.8333
715.94,14.3099
716.67,14.8416
717.4,15.3586
718.13,15.835
718.87,16.3996
719.6,16.9355
720.33,17.5424
721.07,18.1333
721.8,18.6788
722.53,19.3171
723.26,19.9853
724,20.6333
724.73,21.2388
725.46,21.9057
726.19,22.5585
726.93,23.2018
727.66,23.8549
728.39,24.5066
729.12,25.1856
729.85,25.7495
730.58,26.402
731.32,27.0599
732.05,27.7702
732.78,28.5749
733.51,29.2658
734.24,30.0261
734.97,30.7341
735.7,31.4609
736.44,32.1401
737.17,32.955
737.9,33.4864
738.63,33.9843
739.36,34.6789
740.09,35.2295
740.82,35.8045
741.55,36.2975
742.28,36.7822
743.01,37.2476
743.74,37.7904
744.47,38.161
745.2,38.7106
745.93,39.228
746.66,39.5249
747.39,39.8933
748.12,40.1463
748.85,40.5401
749.58,40.9205
750.31,41.3435
751.04,41.7426
751.77,42.255
752.5,42.4227
753.23,42.6944
753.96,42.845
754.69,42.9805
755.42,43.1379
756.15,43.1518
756.88,43.2194
757.6,43.0218
758.33,43.0781
759.06,42.9605
759.79,43.1057
760.52,43.1788
761.25,43.555
761.98,43.8005
762.7,44.0253
763.43,44.2943
764.16,44.4797
764.89,44.7933
765.62,44.8068
766.35,44.9189
767.07,45.0078
767.8,45.0955
768.53,44.9881
769.26,45.0441
769.98,45.069
770.71,44.9732
771.44,44.921
772.17,44.8752
772.89,44.9442
773.62,44.9372
774.35,44.9168
775.07,44.8117
775.8,44.7807
776.53,44.6049
777.26,44.4706
777.98,44.5375
778.71,44.3923
779.44,44.413
780.16,44.3377
780.89,44.3332
781.61,44.558
782.34,44.6864
783.07,44.7438
783.79,44.7968
784.52,44.8798
785.25,44.8648
785.97,44.9065
786.7,44.8275
787.42,44.7705
788.15,44.8114
788.87,44.6597
789.6,44.6384
790.32,44.5245
791.05,44.4001
791.78,44.2203
792.5,44.0306
793.23,43.8902
793.95,43.716
794.68,43.3168
795.4,42.9051
796.13,42.5347
796.85,42.1182
797.57,41.73
798.3,41.553
799.02,41.3354
799.75,41.265
800.47,41.1497
801.2,41.21
801.92,41.4637
802.65,41.4486
803.37,41.4051
804.09,41.4308
804.82,41.3141
805.54,41.0494
806.26,41.1307
806.99,41.0004
807.71,40.8959
808.44,40.6721
809.16,40.2857
809.88,40.0375
810.61,39.836
811.33,39.7514
812.05,39.7083
812.77,39.6004
813.5,39.2663
814.22,39.0736
814.94,39.0593
815.67,38.936
816.39,38.8916
817.11,38.8166
817.83,38.7196
818.56,38.5275
819.28,38.4776
820,38.4227
820.72,38.5097
821.45,38.4481
822.17,38.2808
822.89,38.119
823.61,38.0643
824.33,38.2137
825.05,38.2051
825.78,38.1163
826.5,38.0735
827.22,37.9723
827.94,37.8486
828.66,37.8213
829.38,37.6184
830.1,37.6755
830.83,37.5574
831.55,37.5509
832.27,37.3685
832.99,37.458
833.71,37.4888
834.43,37.6208
835.15,37.6647
835.87,37.6339
836.59,37.6519
837.31,37.4564
838.03,37.4525
838.75,37.1836
839.47,37.4492
840.19,37.3351
840.91,37.2445
841.63,37.2591
842.35,37.2267
843.07,37.1514
843.79,37.1709
844.51,37.2465
845.23,37.2105
845.95,37.3175
846.67,37.0545
847.39,36.9922
848.11,36.6494
848.83,36.3728
849.55,36.2412
850.27,36.2806
850.99,36.1953
851.7,36.2207
852.42,36.3795
853.14,36.4003
853.86,36.5392
854.58,36.6465
855.3,37.0377
856.02,37.4532
856.73,37.7209
857.45,37.6256
858.17,37.6783
858.89,37.6127
859.61,37.5474
860.33,37.3722
861.04,37.1623
861.76,36.8582
862.48,36.7251
863.2,36.4383
863.91,35.993
864.63,35.9757
865.35,35.8464
866.07,35.7274
866.78,35.4263
867.5,35.26
868.22,35.0579
868.93,34.9649
869.65,34.6878
870.37,34.4238
871.09,34.4449
871.8,34.3068
872.52,34.1527
873.24,34.1467
873.95,34.2467
874.67,34.2101
875.38,34.28
876.1,34.2328
876.82,34.226
877.53,34.2186
878.25,34.0972
878.97,33.7971
879.68,33.6703
880.4,33.3986
881.11,33.1192
881.83,32.9525
882.54,32.8093
883.26,32.5743
883.97,32.1589
884.69,31.9059
885.41,31.7272
886.12,31.8003
886.84,31.6349
887.55,31.4367
888.27,31.2003
888.98,30.8678
889.7,30.4871
890.41,30.2369
891.13,29.9723
891.84,29.4745
892.55,28.9199
893.27,28.2591
893.98,27.9098
894.7,27.465
895.41,26.9573
896.13,26.5545
896.84,26.2292
897.55,25.963
898.27,25.7485
898.98,25.7675
899.69,25.674
900.41,25.7666
901.12,25.7435
901.84,25.9023
902.55,26.0927
903.26,25.9915
903.98,25.9371
904.69,25.8207
905.4,25.8611
906.12,25.6829
906.83,25.5989
907.54,25.1474
908.25,24.7157
908.97,24.3958
909.68,23.9916
910.39,23.9409
911.1,23.7377
911.82,23.5488
912.53,23.3304
913.24,23.2305
913.95,23.1631
914.67,23.3984
915.38,23.5312
916.09,23.5398
916.8,23.6656
917.51,23.7324
918.22,23.8233
918.94,23.8835
919.65,23.7896
920.36,23.6489
921.07,23.4497
921.78,23.307
922.49,23.1403
923.2,22.7242
923.92,22.3544
924.63,21.8729
925.34,21.292
926.05,20.5373
926.76,19.6691
927.47,18.8433
928.18,17.8161
928.89,16.5306
929.6,15.4761
930.31,14.3448
931.02,13.2233
931.73,12.0627
932.44,11.179
933.15,10.6305
933.86,10.4759
934.57,10.377
935.28,10.4771
935.99,10.5622
936.7,10.6554
937.41,11.0419
938.12,11.367
938.83,11.7077
939.54,12.0006
940.25,11.9866
940.96,11.9026
941.67,11.6412
942.38,11.3633
943.09,11.271
943.8,10.9858
944.5,10.6331
945.21,10.4563
945.92,10.4158
946.63,10.0734
947.34,10.0299
948.05,10.0612
948.76,10.0431
949.47,10.0793
950.17,9.9382
950.88,9.8274
951.59,9.8194
952.3,9.8165
953.01,9.7365
953.71,9.8232
954.42,9.7688
955.13,9.6327
955.84,9.5577
956.54,9.4355
957.25,9.557
957.96,9.747
958.67,9.7891
959.37,9.617
960.08,9.6244
960.79,9.6465
961.5,9.8616
962.2,10.016
962.91,10.2282
963.62,10.5176
964.32,10.6806
965.03,10.8693
965.74,11.1531
966.44,11.501
967.15,11.9466
967.86,12.081
968.56,12.1634
969.27,12.165
969.97,12.0753
970.68,12.002
971.39,11.8341
972.09,11.7756
972.8,11.7238
973.5,11.5713
974.21,11.193
974.91,11.1675
975.62,11.0835
976.33,11.0557
977.03,11.0865
977.74,11.0561
978.44,11.2559
979.15,11.2367
979.85,11.1655
980.56,11.2157
981.26,11.3868
981.97,11.3481
982.67,11.3356
983.38,11.3422
984.08,11.278
984.78,11.3253
985.49,11.3061
986.19,11.1898
986.9,11.158
987.6,11.0572
988.31,10.8865
989.01,10.8097
989.71,10.7592
990.42,10.6192
991.12,10.6582
991.83,10.5372
992.53,10.3919
993.23,10.4929
993.94,10.4299
994.64,10.3776
995.34,10.4155
996.05,10.4616
996.75,10.3431
997.45,10.2724
998.16,10.2241
998.86,10.0999
999.56,10.0237
1000.26,9.746
1000.97,9.6324
1001.67,9.603
1002.37,9.3927
1003.07,9.3037
1003.78,9.3372
1004.48,9.2102
1005.18,9.0866
1005.88,9.0027
1006.59,8.9024
1007.29,8.9385
1007.99,8.8842
1008.69,8.9293
1009.39,8.8553
1010.1,8.7582
1010.8,8.5809
1011.5,8.5793
1012.2,8.496
1012.9,8.4959
1013.6,8.4664
1014.3,8.261
1015.01,8.1009
1015.71,7.8599
1016.41,7.707
1017.11,7.6458
1017.81,7.6399
1018.51,7.6023
1019.21,7.4087
1019.91,7.2811
1020.61,7.2056
1021.31,7.2469
1022.01,7.2743
1022.71,7.1906
1023.41,7.2256
1024.11,7.1312
1024.81,6.9186
1025.51,6.8475
1026.21,6.7604
1026.91,6.6316
1027.61,6.553
1028.31,6.5108
1029.01,6.4308
1029.71,6.3656
1030.41,6.2487
1031.11,6.2528
1031.81,6.3378
1032.51,6.2598
1033.21,6.2936
1033.91,6.3397
1034.61,6.3288
1035.31,6.2277
1036.01,6.257
1036.7,6.4032
1037.4,6.4795
1038.1,6.5478
1038.8,6.476
1039.5,6.4555
1040.2,6.4721
1040.9,6.4308
1041.59,6.3284
1042.29,6.2616
1042.99,6.2039
1043.69,6.0168
1044.39,5.9609
1045.08,5.8752
1045.78,5.8725
1046.48,5.7667
1047.18,5.8123
1047.87,5.8679
1048.57,5.8897
1049.27,5.9387
1049.97,5.8898
1050.66,5.779
1051.36,5.4636
1052.06,5.347
1052.76,5.3167
1053.45,5.3435
1054.15,5.3367
1054.85,5.2425
1055.54,5.3053
1056.24,5.4149
1056.94,5.3781
1057.63,5.5534
1058.33,5.8807
1059.03,5.9321
1059.72,6.1255
1060.42,6.1545
1061.11,6.1171
1061.81,6.1565
1062.51,6.0445
1063.2,5.737
1063.9,5.6559
1064.59,5.638
1065.29,5.5588
1065.98,5.4168
1066.68,5.1363
1067.38,5.0913
1068.07,5.064
1068.77,5.0344
